ano_edicion,provincia,cumple_no_cumple_fy_v,genero,edad,rango_edad,nivel_de_instruccion,quintil_ingresos,indice_nbi_hogar_dic,promedio_fyv_dia,region,eap_frutihorticola_ter,grupo_hortalizas_ha,grupo_frutales_ha,hort_x_habitantes,frut_x_habitantes,hort_x_10mil_habitantes,frut_x_10mil_habitantes,porcentaje_hogares_nbi,num_habitantes
2009,Buenos Aires,1,Varon,26,2,Secundario,3,0,8,2,Alto,28335.1,4961.4,0.0018993976380116825,3.3257943120833033e-4,18.993976380116823,3.3257943120833033,8.14096156496191,14917940
2009,Catamarca,1,Mujer,36,3,Secundario,2,0,4.71428571428571,3,Alto,2723.4,30205.6,0.007155318276880393,0.07936060870387691,71.55318276880392,793.6060870387691,11.3450900511453,380612
2009,Salta,0,Mujer,24,1,Terc/Univ,3,0,0.714285714285714,3,Alto,7539.1,16031.4,0.0062682030308799895,0.013328921233204158,62.682030308799895,133.2892123320416,19.41399761169336,1202753
2009,Rio Negro,0,Varon,62,4,Primario,5,0,2.85714285714286,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Tierra del Fuego,0,Varon,52,4,Terc/Univ,5,0,2.42857142857143,6,Bajo,3.1,0.2,2.5299720070839218e-5,1.6322400045702722e-6,0.25299720070839216,0.016322400045702724,14.2422445836328,122531
2009,Corrientes,0,Varon,35,3,Terc/Univ,3,0,1,4,Medio,656.3,15865.1,6.547182008268024e-4,0.015826862300681553,6.547182008268025,158.26862300681555,15.096509669637822,1002416
2009,Formosa,0,Mujer,29,2,Primario,1,1,1.42857142857143,4,Medio,4692.5,2906.4,0.008816544478222148,0.005460714943314833,88.16544478222148,54.60714943314833,19.73086819241214,532238
2009,Chubut,1,Varon,18,1,Secundario,4,0,3.71428571428571,6,Bajo,437.7,605.1,9.606963896516076e-4,0.0013281183124930038,9.606963896516076,13.281183124930038,8.44620770395633,455607
2009,Salta,1,Mujer,54,4,Primario,2,0,3,3,Alto,7539.1,16031.4,0.0062682030308799895,0.013328921233204158,62.682030308799895,133.2892123320416,19.41399761169336,1202753
2009,Misiones,0,Mujer,40,3,Primario,1,0,0.714285714285714,4,Medio,8415.6,6157,0.007927354251641407,0.0057997908797181585,79.27354251641407,57.99790879718159,15.64797179760557,1061590
2009,Jujuy,0,Mujer,38,3,Secundario,1,0,0.857142857142857,3,Medio,4979.4,6837.6,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,15.462978869610033,670766
2009,Corrientes,0,Mujer,29,2,Primario,1,1,1.14285714285714,4,Medio,656.3,15865.1,6.547182008268024e-4,0.015826862300681553,6.547182008268025,158.26862300681555,15.096509669637822,1002416
2009,Jujuy,0,Varon,21,1,Terc/Univ,1,1,1.85714285714286,3,Medio,4979.4,6837.6,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,15.462978869610033,670766
2009,Rio Negro,0,Mujer,19,1,Secundario,3,0,1.14285714285714,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Buenos Aires,0,Varon,39,3,Primario,1,0,0,1,Alto,28335.1,4961.4,0.0018993976380116825,3.3257943120833033e-4,18.993976380116823,3.3257943120833033,8.14096156496191,14917940
2009,Misiones,0,Mujer,40,3,Primario,1,1,2.14285714285714,4,Medio,8415.6,6157,0.007927354251641407,0.0057997908797181585,79.27354251641407,57.99790879718159,15.64797179760557,1061590
2009,Misiones,1,Mujer,25,2,Terc/Univ,4,0,4,4,Medio,8415.6,6157,0.007927354251641407,0.0057997908797181585,79.27354251641407,57.99790879718159,15.64797179760557,1061590
2009,Catamarca,0,Mujer,19,1,Secundario,3,0,1.42857142857143,3,Alto,2723.4,30205.6,0.007155318276880393,0.07936060870387691,71.55318276880392,793.6060870387691,11.3450900511453,380612
2009,Corrientes,0,Mujer,33,2,Secundario,1,0,0.571428571428572,4,Medio,656.3,15865.1,6.547182008268024e-4,0.015826862300681553,6.547182008268025,158.26862300681555,15.096509669637822,1002416
2009,San Juan,0,Mujer,36,3,Secundario,4,0,0.285714285714286,5,Alto,5603.1,66331.6,0.008169177541942286,0.09670978869573967,81.69177541942285,967.0978869573967,10.242443058338743,685883
2009,Santa Fe,0,Mujer,76,5,Secundario,5,0,2,2,Medio,6110.3,651.1,0.00189712675475609,2.0215361439236866e-4,18.9712675475609,2.0215361439236865,6.434409055878381,3220818
2009,Rio Negro,0,Mujer,41,3,Secundario,1,0,0.857142857142857,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Jujuy,0,Varon,56,4,Primario,1,0,1,3,Medio,4979.4,6837.6,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,15.462978869610033,670766
2009,Mendoza,0,Mujer,23,1,Terc/Univ,5,0,2,5,Alto,31054.8,209491.6,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,7.612950422458931,1711416
2009,Jujuy,0,Mujer,29,2,Terc/Univ,4,0,1.42857142857143,3,Medio,4979.4,6837.6,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,15.462978869610033,670766
